dataset	cell_type	target	perturbation	program	n_program_genes	n_sig_fdr	mean_abs_Z	mean_FC	network_score
GSE154778_primary	endothelial	TACC1	KO	myeloid_inflammation	10	0	1.36973524420835	0.00523243306717817	8.78261240164294e-12
GSE154778_primary	endothelial	TACC1	KO	cytotoxic_TNK	7	0	1.494078961103	0.0310071741698131	6.14782868115006e-12
GSE154778_primary	endothelial	TACC1	KO	T_exhaustion	7	0	1.45164066768411	0.00281106853445462	6.14782868115006e-12
GSE154778_primary	endothelial	TACC1	KO	TNF_NFkB	8	0	1.31374326780818	0.371921287339909	0.0139345487046364
GSE154778_primary	endothelial	TACC1	KO	angiogenesis	7	0	0.457820528982771	0.508594839486386	0.0588087835891931
GSE154778_primary	endothelial	TACC1	KO	TGFb_fibrosis	10	0	0.690326158163127	0.00610376683270606	8.78261240164294e-12
GSE154778_primary	endothelial	TACC1	OE	endothelial	10	0	0.915994079311722	0.975850094450951	0.26912893585507
GSE154778_primary	endothelial	TACC1	OE	CAF_ECM	8	0	0.911998024376868	0.276738786852125	2.32518638735406e-12
GSE154778_primary	endothelial	TACC1	OE	myeloid_inflammation	10	0	1.11196516632824	0.201023935864427	2.90648298419258e-12
GSE154778_primary	endothelial	TACC1	OE	cytotoxic_TNK	7	0	1.37713477989008	4.91144476546406e-21	2.03453808893481e-12
GSE154778_primary	endothelial	TACC1	OE	T_exhaustion	7	0	1.27977973711908	0.0397444925280017	2.03453808893481e-12
GSE154778_primary	endothelial	TACC1	OE	TNF_NFkB	8	0	1.28035320072205	0.676483745657322	0.0397853048229594
GSE154778_primary	endothelial	TACC1	OE	angiogenesis	7	0	0.944471469701939	0.43051587322496	2.03453808893481e-12
GSE154778_primary	endothelial	TACC1	OE	TGFb_fibrosis	10	0	1.02857281645397	0.505809144315043	0.109116044190798
GSE154778_primary	fibroblast_CAF	EPAS1	KO	endothelial	10	8	1.54642584335744	407.195904619401	36.5764013782163
GSE154778_primary	fibroblast_CAF	EPAS1	KO	CAF_ECM	8	0	0.360052331206669	0.460085028976892	4.60948529012502e-13
GSE154778_primary	fibroblast_CAF	EPAS1	KO	myeloid_inflammation	10	0	1.22491512208742	0.740383422708413	0.662554644345667
GSE154778_primary	fibroblast_CAF	EPAS1	KO	cytotoxic_TNK	7	0	1.57629810203472	0.649405728507535	0.245973019490999
GSE154778_primary	fibroblast_CAF	EPAS1	KO	T_exhaustion	7	0	1.53049255236237	0.0855654576150474	4.03329962885939e-13
GSE154778_primary	fibroblast_CAF	EPAS1	KO	TNF_NFkB	8	0	1.01944856362254	0.623442860314242	4.60948529012502e-13
GSE154778_primary	fibroblast_CAF	EPAS1	KO	angiogenesis	7	4	1.5235951008374	571.841713691617	24.5425707692981
GSE154778_primary	fibroblast_CAF	EPAS1	KO	TGFb_fibrosis	10	0	0.534460243207367	0.475571819794573	5.76185661265627e-13
GSE154778_primary	fibroblast_CAF	EPAS1	OE	endothelial	10	0	0.794301563846351	0.319100413426282	0.0236192740231166
GSE154778_primary	fibroblast_CAF	EPAS1	OE	CAF_ECM	8	0	0.727535598419056	0.488529645739831	0.0236192740231038
GSE154778_primary	fibroblast_CAF	EPAS1	OE	myeloid_inflammation	10	0	1.23731602481143	0.00666332252047454	6.41277765257941e-14
GSE154778_primary	fibroblast_CAF	EPAS1	OE	cytotoxic_TNK	7	0	1.20832367062997	0.00735538026078891	4.48894435680558e-14
GSE154778_primary	fibroblast_CAF	EPAS1	OE	T_exhaustion	7	0	1.29841527230187	3.02280295363089e-27	4.48894435680558e-14
GSE154778_primary	fibroblast_CAF	EPAS1	OE	TNF_NFkB	8	0	1.24343020465602	0.172908078546425	0.0236192740231038
GSE154778_primary	fibroblast_CAF	EPAS1	OE	angiogenesis	7	0	0.951753037392	0.325641487913498	0.0236192740230974
GSE154778_primary	fibroblast_CAF	EPAS1	OE	TGFb_fibrosis	10	0	1.00484949185296	0.178309322229216	6.41277765257941e-14
GSE154778_primary	fibroblast_CAF	HERPUD1	KO	endothelial	10	0	0.721358228258948	0.146763568505656	6.45183291497956e-12
GSE154778_primary	fibroblast_CAF	HERPUD1	KO	CAF_ECM	8	1	0.505810400702334	1.60162077158351	1.39863210476182
GSE154778_primary	fibroblast_CAF	HERPUD1	KO	myeloid_inflammation	10	0	1.00884513434086	0.0454478402046381	6.45183291497956e-12
GSE154778_primary	fibroblast_CAF	HERPUD1	KO	cytotoxic_TNK	7	0	1.42010785133174	0.00245452641485218	4.51628304048569e-12
GSE154778_primary	fibroblast_CAF	HERPUD1	KO	T_exhaustion	7	0	1.35663810674519	3.39790538077745e-05	4.51628304048569e-12
GSE154778_primary	fibroblast_CAF	HERPUD1	KO	TNF_NFkB	8	0	0.769905943973818	0.0622263958204865	5.16146633198365e-12
GSE154778_primary	fibroblast_CAF	HERPUD1	KO	angiogenesis	7	0	0.663030497444524	0.0857371121976448	4.51628304048569e-12
GSE154778_primary	fibroblast_CAF	HERPUD1	KO	TGFb_fibrosis	10	0	0.513625382535962	0.0798544265336267	6.45183291497956e-12
GSE154778_primary	fibroblast_CAF	HERPUD1	OE	endothelial	10	0	0.836973611876859	0.384142633977567	2.36260229305556e-14
GSE154778_primary	fibroblast_CAF	HERPUD1	OE	CAF_ECM	8	0	0.732364803947068	0.528156994586826	1.89008183444445e-14
GSE154778_primary	fibroblast_CAF	HERPUD1	OE	myeloid_inflammation	10	0	1.26877474045713	0.0398555206649083	2.36260229305556e-14
GSE154778_primary	fibroblast_CAF	HERPUD1	OE	cytotoxic_TNK	7	0	1.21532742190131	0.00760446380852969	1.65382160513889e-14
GSE154778_primary	fibroblast_CAF	HERPUD1	OE	T_exhaustion	7	0	1.31739673314444	2.20689680214043e-27	1.65382160513889e-14
GSE154778_primary	fibroblast_CAF	HERPUD1	OE	TNF_NFkB	8	0	1.24810663976801	0.0686527670585083	1.89008183444445e-14
GSE154778_primary	fibroblast_CAF	HERPUD1	OE	angiogenesis	7	0	0.991842612567971	0.431873053213015	1.65382160513889e-14
GSE154778_primary	fibroblast_CAF	HERPUD1	OE	TGFb_fibrosis	10	0	1.0253843535009	0.451556056670887	0.136715655275363
GSE154778_primary	fibroblast_CAF	MARCKS	KO	endothelial	10	0	0.323106966899372	0.00116863200451966	5.94507883130142e-13
GSE154778_primary	fibroblast_CAF	MARCKS	KO	CAF_ECM	8	3	1.16155406937464	6.45759911663769	6.72817651446641
GSE154778_primary	fibroblast_CAF	MARCKS	KO	myeloid_inflammation	10	0	0.984629920626339	0.0848963921481502	5.94507883130142e-13
GSE154778_primary	fibroblast_CAF	MARCKS	KO	cytotoxic_TNK	7	0	1.37498688429682	0.00101128518895856	4.161555181911e-13
GSE154778_primary	fibroblast_CAF	MARCKS	KO	T_exhaustion	7	0	1.3966337985099	0.000165304745126746	4.161555181911e-13
GSE154778_primary	fibroblast_CAF	MARCKS	KO	TNF_NFkB	8	0	0.573634183461258	0.00098803361187166	4.75606306504114e-13
GSE154778_primary	fibroblast_CAF	MARCKS	KO	angiogenesis	7	0	0.387033974488327	0.00150098106181113	4.161555181911e-13
GSE154778_primary	fibroblast_CAF	MARCKS	KO	TGFb_fibrosis	10	2	0.738753157582027	2.67734021875216	3.51429645455326
GSE154778_primary	fibroblast_CAF	MARCKS	OE	endothelial	10	0	0.825321282588973	0.391521473751632	0.0437545500676057
GSE154778_primary	fibroblast_CAF	MARCKS	OE	CAF_ECM	8	0	0.725132218518403	0.394241619384535	4.7444911354422e-14
GSE154778_primary	fibroblast_CAF	MARCKS	OE	myeloid_inflammation	10	0	1.24627397038195	0.00702474687206918	5.93061391930276e-14
GSE154778_primary	fibroblast_CAF	MARCKS	OE	cytotoxic_TNK	7	0	1.21449007360529	0.00442343177635573	4.15142974351193e-14
GSE154778_primary	fibroblast_CAF	MARCKS	OE	T_exhaustion	7	0	1.31367412067045	5.37385776264034e-27	4.15142974351193e-14
GSE154778_primary	fibroblast_CAF	MARCKS	OE	TNF_NFkB	8	0	1.25168314818666	0.114484488350875	4.7444911354422e-14
GSE154778_primary	fibroblast_CAF	MARCKS	OE	angiogenesis	7	0	0.99184812929921	0.440845164808714	0.043754550067588
GSE154778_primary	fibroblast_CAF	MARCKS	OE	TGFb_fibrosis	10	0	1.01467231298121	0.364484841465251	0.0598084377215916
GSE154778_primary	fibroblast_CAF	TACC1	KO	endothelial	10	7	1.38579504814089	12.1917767985349	19.9882975140589
GSE154778_primary	fibroblast_CAF	TACC1	KO	CAF_ECM	8	0	0.409288785153585	0.346215922306858	1.67792979180276e-13
GSE154778_primary	fibroblast_CAF	TACC1	KO	myeloid_inflammation	10	0	1.2230384237943	0.699179954592344	0.571788093714481
GSE154778_primary	fibroblast_CAF	TACC1	KO	cytotoxic_TNK	7	0	1.53098292512834	0.645068121798625	0.238256772089824
GSE154778_primary	fibroblast_CAF	TACC1	KO	T_exhaustion	7	0	1.54148424764491	0.0879143305543715	1.46818856782741e-13
GSE154778_primary	fibroblast_CAF	TACC1	KO	TNF_NFkB	8	0	1.00011515279693	0.634129920600835	1.67792979180276e-13
GSE154778_primary	fibroblast_CAF	TACC1	KO	angiogenesis	7	3	1.2888968925297	7.79890379962702	8.40063821921621
GSE154778_primary	fibroblast_CAF	TACC1	KO	TGFb_fibrosis	10	0	0.587141997710774	0.485714670529698	2.09741223975345e-13
GSE154778_primary	fibroblast_CAF	TACC1	OE	endothelial	10	0	0.856208309545358	0.679538680460481	0.179504213034102
GSE154778_primary	fibroblast_CAF	TACC1	OE	CAF_ECM	8	0	0.754889571069006	0.943628689357337	0.250396703014101
GSE154778_primary	fibroblast_CAF	TACC1	OE	myeloid_inflammation	10	0	1.26881572295498	0.067650152474851	9.35397642556699e-14
GSE154778_primary	fibroblast_CAF	TACC1	OE	cytotoxic_TNK	7	0	1.21805690090103	0.00752583070948099	6.54778349789689e-14
GSE154778_primary	fibroblast_CAF	TACC1	OE	T_exhaustion	7	0	1.31432222255514	1.67279699001003e-26	6.54778349789689e-14
GSE154778_primary	fibroblast_CAF	TACC1	OE	TNF_NFkB	8	0	1.23983148782384	0.0254679563894403	7.48318114045359e-14
GSE154778_primary	fibroblast_CAF	TACC1	OE	angiogenesis	7	0	0.994257498392126	0.728956394741457	0.179504213034074
GSE154778_primary	fibroblast_CAF	TACC1	OE	TGFb_fibrosis	10	0	1.01899562870576	0.455489526887156	0.185016246888034
GSE154778_primary	myeloid	EPAS1	KO	endothelial	10	1	1.55994651667804	2.4194645117234	3.52549709083085
GSE154778_primary	myeloid	EPAS1	KO	CAF_ECM	8	0	0.518958285114038	0.428697649145055	0.113000099184096
GSE154778_primary	myeloid	EPAS1	KO	myeloid_inflammation	10	0	0.817594535086199	0.595272063768933	0.113061211338283
GSE154778_primary	myeloid	EPAS1	KO	cytotoxic_TNK	7	0	1.09379372821559	0.0309379684716999	0.000213892539653713
GSE154778_primary	myeloid	EPAS1	KO	T_exhaustion	7	0	1.23443296106419	0.000225721534807901	0.000213892539653713
GSE154778_primary	myeloid	EPAS1	KO	TNF_NFkB	8	1	0.769720005740345	1.32436234294798	1.48836715258005
