dataset	outcome	n_independent_units	n_positive	n_negative	median_conditional_beta	mean_conditional_beta	exact_two_sided_sign_p	BH_q_across_spatial_endpoints
GSE282302	myeloid_neighbor_score	14	5	9	-0.018847651140015804	-0.015189459891305676	0.4239501953125	0.5652669270833334
GSE282302	T_NK_neighbor_score	14	12	2	0.03555735714731614	0.03480655733725854	0.012939453125	0.02587890625
GSE282302	endothelial_neighbor_score	14	14	0	0.09109848589862177	0.10450284399713483	0.0001220703125	0.00048828125
GSE297144	endothelial_program_excluding_EPAS1	6	2	4	-0.019564556564960582	-0.015124073567151364	0.6875	0.6875
