ligand	target	receptor	pathway_name	n_edges	min_p	mean_prob
ANGPT2	B_cell	ITGA5_ITGB1	ANGPT	1	0	8.27035482259801e-06
ANGPT2	CD8	ITGA5_ITGB1	ANGPT	1	0	2.02346893159606e-06
ANGPT2	myeloid	ITGA5_ITGB1	ANGPT	3	0	1.68773471832065e-05
