patient	DiseaseState	receiver_group	endpoint	n_cells	value
patient2	AdjNorm	T/NK	ITGB1	85	0.2235294117647059
patient2	PDAC	T/NK	ITGB1	268	0.7910447761194029
patient3	PDAC	T/NK	ITGB1	228	0.7763157894736842
patient4	AdjNorm	T/NK	ITGB1	354	0.2994350282485876
patient4	PDAC	T/NK	ITGB1	965	0.2207253886010362
patient5	AdjNorm	T/NK	ITGB1	103	1.058252427184466
patient5	PDAC	T/NK	ITGB1	4949	0.4291776116387149
patient6	AdjNorm	T/NK	ITGB1	574	1.3554006968641117
patient6	PDAC	T/NK	ITGB1	988	1.2439271255060729
patient7	PDAC	T/NK	ITGB1	708	1.3064971751412429
patient8	AdjNorm	T/NK	ITGB1	80	0.125
patient8	PDAC	T/NK	ITGB1	184	1.184782608695652
patient9	AdjNorm	T/NK	ITGB1	666	1.37987987987988
patient9	PDAC	T/NK	ITGB1	2647	1.1711371363808083
patient1	PDAC	T/NK	ITGA5/ITGB1 receptor score	512	0.2470703125
patient2	AdjNorm	T/NK	ITGA5/ITGB1 receptor score	85	0.1235294117647058
patient2	PDAC	T/NK	ITGA5/ITGB1 receptor score	268	0.4141791044776119
patient3	PDAC	T/NK	ITGA5/ITGB1 receptor score	228	0.4714912280701754
patient4	AdjNorm	T/NK	ITGA5/ITGB1 receptor score	354	0.1610169491525423
patient4	PDAC	T/NK	ITGA5/ITGB1 receptor score	965	0.1119170984455958
patient5	AdjNorm	T/NK	ITGA5/ITGB1 receptor score	103	0.5728155339805825
patient5	PDAC	T/NK	ITGA5/ITGB1 receptor score	4949	0.2575267730854718
patient6	AdjNorm	T/NK	ITGA5/ITGB1 receptor score	574	0.7212543554006968
patient6	PDAC	T/NK	ITGA5/ITGB1 receptor score	988	0.6720647773279352
patient7	PDAC	T/NK	ITGA5/ITGB1 receptor score	708	0.692090395480226
patient8	AdjNorm	T/NK	ITGA5/ITGB1 receptor score	80	0.08125
patient8	PDAC	T/NK	ITGA5/ITGB1 receptor score	184	0.6304347826086957
patient9	AdjNorm	T/NK	ITGA5/ITGB1 receptor score	666	0.7222222222222222
patient9	PDAC	T/NK	ITGA5/ITGB1 receptor score	2647	0.6191915375897242
patient1	PDAC	T/NK	Lineage state score	512	1.16953125
patient2	AdjNorm	T/NK	Lineage state score	85	1.5529411764705885
patient2	PDAC	T/NK	Lineage state score	268	1.9059701492537315
patient3	PDAC	T/NK	Lineage state score	228	0.8842105263157894
patient4	AdjNorm	T/NK	Lineage state score	354	1.223728813559322
patient4	PDAC	T/NK	Lineage state score	965	0.558341968911917
patient5	AdjNorm	T/NK	Lineage state score	103	3.5980582524271845
patient5	PDAC	T/NK	Lineage state score	4949	1.4575469791877147
patient6	AdjNorm	T/NK	Lineage state score	574	5.043554006968641
patient6	PDAC	T/NK	Lineage state score	988	5.897773279352227
patient7	PDAC	T/NK	Lineage state score	708	2.124011299435028
patient8	AdjNorm	T/NK	Lineage state score	80	1.2325
patient8	PDAC	T/NK	Lineage state score	184	2.792391304347826
patient9	AdjNorm	T/NK	Lineage state score	666	6.238738738738738
patient9	PDAC	T/NK	Lineage state score	2647	2.795013222516056
