patient_id	sample_id	genes_detected	library_size	mapped_to_reference
TCGA-HZ-A77O	TCGA-HZ-A77O-01A	31255	46978660	60616
TCGA-YY-A8LH	TCGA-YY-A8LH-01A	33300	47976026	60616
TCGA-3A-A9IV	TCGA-3A-A9IV-01A	30143	38624984	60616
TCGA-3A-A9IR	TCGA-3A-A9IR-01A	32576	54455690	60616
TCGA-HZ-8638	TCGA-HZ-8638-01A	36243	73920137	60616
TCGA-H8-A6C1	TCGA-H8-A6C1-01A	34287	43157232	60616
TCGA-FB-AAPP	TCGA-FB-AAPP-01A	27092	29587319	60616
TCGA-3A-A9IL	TCGA-3A-A9IL-01A	33518	43267009	60616
TCGA-3A-A9IN	TCGA-3A-A9IN-01A	34049	44290623	60616
TCGA-F2-6880	TCGA-F2-6880-01A	28125	48131628	60616
TCGA-3A-A9IJ	TCGA-3A-A9IJ-01A	29762	43082439	60616
TCGA-FB-A7DR	TCGA-FB-A7DR-01A	32807	48711594	60616
TCGA-HZ-A8P1	TCGA-HZ-A8P1-01A	31668	37011480	60616
TCGA-3A-A9IS	TCGA-3A-A9IS-01A	29743	47999834	60616
TCGA-HZ-8519	TCGA-HZ-8519-01A	37591	85533742	60616
TCGA-IB-A5ST	TCGA-IB-A5ST-01A	33351	49885491	60616
TCGA-IB-A7LX	TCGA-IB-A7LX-01A	34357	48068779	60616
TCGA-2L-AAQE	TCGA-2L-AAQE-01A	31414	44820547	60616
TCGA-IB-A6UG	TCGA-IB-A6UG-01A	33846	48988373	60616
TCGA-HV-A5A3	TCGA-HV-A5A3-01A	29534	28763307	60616
TCGA-S4-A8RM	TCGA-S4-A8RM-01A	34697	50753265	60616
TCGA-IB-7651	TCGA-IB-7651-01A	34497	79188211	60616
TCGA-XD-AAUL	TCGA-XD-AAUL-01A	32684	52846248	60616
TCGA-IB-8127	TCGA-IB-8127-01A	36103	83935844	60616
TCGA-3A-A9IB	TCGA-3A-A9IB-01A	33482	56600578	60616
TCGA-IB-7893	TCGA-IB-7893-01A	30570	65830070	60616
TCGA-F2-A7TX	TCGA-F2-A7TX-01A	31807	49882165	60616
TCGA-HZ-A4BH	TCGA-HZ-A4BH-01A	32546	43259475	60616
TCGA-HZ-8002	TCGA-HZ-8002-01A	33689	56529408	60616
TCGA-IB-A6UF	TCGA-IB-A6UF-01A	34400	46582168	60616
TCGA-YH-A8SY	TCGA-YH-A8SY-01A	31965	44128830	60616
TCGA-2J-AAB4	TCGA-2J-AAB4-01A	33395	50604567	60616
TCGA-HV-A5A6	TCGA-HV-A5A6-01A	30553	40217949	60616
TCGA-FB-AAQ3	TCGA-FB-AAQ3-01A	29105	34131654	60616
TCGA-FB-AAPU	TCGA-FB-AAPU-01A	32799	61616020	60616
TCGA-2J-AAB1	TCGA-2J-AAB1-01A	31450	44701800	60616
TCGA-H6-8124	TCGA-H6-8124-01A	33895	54975807	60616
TCGA-XD-AAUG	TCGA-XD-AAUG-01A	32363	35405061	60616
TCGA-IB-AAUV	TCGA-IB-AAUV-01A	35169	59258725	60616
