sample	patient	n_spots	n_in_tissue	n_position_matched	n_genes_median	total_counts_median	n_endo_up	n_endo_down	n_vascular_markers	EPAS1_vascular_rho	EPAS1_program_rho	program_vascular_rho	image_present	scalefactor_present
GSM8641037_C2_D11_ROI4_s2	D11	2243	2243	2243	3740.0	9091.0	7	17	3	0.229355737922439	-0.0670578499799695	-0.0292477472302249	True	True
GSM8641038_C2_D12	D12	2261	2261	2261	1336.0	2411.0	7	17	3	0.0624369178060838			True	True
GSM8641039_C2_D13	D13	3207	3207	3207	1354.0	2467.0	7	17	3	0.176945579998218			True	True
GSM8641040_C2_D2	D2	3064	3064	3064	5820.5	16300.0	7	17	3	0.229412635991286	-0.0753806666522178	0.103733064770459	True	True
GSM8641041_C2_D3	D3	3345	3345	3345	5434.0	14843.0	7	17	3	0.188260851062589	0.0555242485033292	0.0413471869087667	True	True
GSM8641042_C2_D4	D4	3899	3899	3899	3794.0	9658.0	7	17	3	0.28171381663044	-0.0605551480618521	-0.0526694337053568	True	True
GSM8641043_C2_D5_ROI1_s6	D5	2203	2203	2203	7909.0	33360.0	7	17	3	0.215849494129965	-0.0458563554276912	0.0932982095618723	True	True
GSM8641044_C2_D5_ROI2_s2	D5	3419	3419	3419	6101.0	17132.0	7	17	3	0.1354308829648	-0.0018999075503173	0.0966993409890667	True	True
GSM8641045_C2_D6_s1	D6	3623	3623	3623	11346.0	111363.0	7	17	3	0.356578363995886	0.133796169609472	0.125233913901952	True	True
GSM8641046_C2_D6_s2	D6	3733	3733	3733	8638.0	41095.0	7	17	3	0.230450523328688	0.0293607760609925	0.034304882440618	True	True
GSM8641047_C2_D7_s1	D7	4210	4210	4210	5550.0	15939.0	7	17	3	0.264076295723745	0.0739609869812725	0.10292794443043	True	True
GSM8641048_C2_D7_s2	D7	4154	4154	4154	4662.0	11995.0	7	17	3	0.231401866273672	0.0776275422385699	0.0780513438055985	True	True
GSM8641049_C2_D8_ROI1_s1	D8	2534	2534	2534	4123.5	10935.0	7	17	3	0.267609152822223	0.0117203761192927	0.112973166132676	True	True
GSM8641050_C2_D8_ROI1_s2	D8	2487	2487	2487	3913.0	10038.0	7	17	3	0.276670790206596	-0.0533959826873475	0.121563386936709	True	True
GSM8641051_C2_D8_ROI2_s1	D8	2776	2776	2776	4258.5	11695.0	7	17	3	0.183407170117195	-0.0673624495939536	0.0650909139891398	True	True
GSM8641052_C2_D8_ROI2_s2	D8	2694	2694	2694	4586.5	12789.5	7	17	3	0.220232568373209	-0.0315998035017488	0.0928102958291129	True	True
