contrast	program	n_g1	n_g0	logFC	P.Value	adj.P.Val
primary_vs_normal	endothelial	145	46	0.296887086282447	4.67503001264517e-10	4.67503001264517e-10
primary_vs_normal	T_NK	145	46	0.156069222801294	0.0014898794618165	0.0014898794618165
vessel_vs_normal	endothelial	1	46	-0.0853129641415353	0.758226518811966	0.758226518811966
vessel_vs_normal	T_NK	1	46	-0.234153683367577	0.354800389680909	0.354800389680909
met_vs_normal	endothelial	61	46	0.103880301354451	0.0825255755587321	0.0825255755587321
met_vs_normal	T_NK	61	46	0.0830868858955595	0.0911161783150026	0.0911161783150026
