drug	gene	n	spearman_rho	P	FDR
triclabendazole_logFC	EPAS1	29	-0.133004926108374	0.491570548113356	0.655427397484474
triclabendazole_logFC	MARCKS	29	-0.380295566502463	0.0418453391709689	0.299495226679026
triclabendazole_logFC	HERPUD1	29	-0.274384236453202	0.149747613339513	0.299495226679026
triclabendazole_logFC	TACC1	29	0.054679802955665	0.778159777203543	0.864004269612446
Y39983_logFC	EPAS1	32	-0.310117302052786	0.0841012913986026	0.299495226679026
Y39983_logFC	MARCKS	32	-0.031524926686217	0.864004269612446	0.864004269612446
Y39983_logFC	HERPUD1	32	-0.220307917888563	0.225657275292842	0.361051640468548
Y39983_logFC	TACC1	32	-0.261363636363636	0.148478323576079	0.299495226679026
