gene	logFC	P.Value	adj.P.Val
BCAT1	-0.256853373313345	0.078522720403195	0.103649990932217
C1QTNF6	0.744824587706149	6.55409324359839e-06	2.45507819584136e-05
SESN3	0.15419475262369	0.018647790863642	0.027971686295463
CTHRC1	1.75720629685158	5.52253041406605e-09	6.07478345547266e-08
LEF1	0.684214992503752	9.437417156540041e-09	7.78586915414553e-08
LHX6	-0.411555622188909	0.0013800052108775	0.0023968511557346
MARCKS	0.375934332833584	0.000903281125895	0.0018630173221585
PRX	-0.382413193403301	1.80295611742307e-07	1.18995103749923e-06
DNASE1L3	-0.725600899550227	0.0003083802763815	0.0006784366080393
FGL2	0.0229533733133433	0.889200242640587	0.916987750223105
AQP7	-0.385261769115444	0.000152412764641	0.0003868939410118
ADRB2	-0.281463418290855	0.0705855191457508	0.0970550888254073
SLCO4A1	0.537256221889058	0.0013254385310553	0.0023968511557346
CA4	-1.52883673163419	2.25192120466736e-10	6.57095500210715e-09
BTNL9	-0.344489205397304	0.0021047216166914	0.0033074196833722
SLC14A1	0.057173763118441	0.524692931532039	0.577162224685243
CTSH	0.291098650674664	0.0304887611841987	0.0437447443077634
CDC42EP4	-0.378205547226389	1.0322809415332e-06	4.86646729579939e-06
TIMP3	-0.118750974512744	0.512980987574822	0.577162224685243
EPHX1	-0.716337331334336	3.98239697097403e-10	6.57095500210715e-09
HERPUD1	-0.168976761619192	0.170699411138219	0.208632613613379
RRAS	0.349961469265369	0.0009723578946877	0.0018875182661585
TACC1	-0.558406896551726	3.81271204321034e-07	2.09699162376569e-06
GSN	0.0089727136431769	0.953187612823221	0.953187612823221
EPAS1	-0.407176311844079	9.52903583739304e-05	0.0002620484855283
TNFSF13B	0.461551424287858	0.0015469524748394	0.002552471583485
CD4	-0.571638980509748	3.90598356069743e-05	0.0001171795068209
PHACTR2	0.418790104947528	3.87579620594091e-05	0.0001171795068209
AQP3	-0.0627989505247389	0.702151014820129	0.747451080292396
LIMS1	0.453302248875564	0.000237087693969	0.0005588495643557
CCL3	0.289737031484259	0.169720772825722	0.208632613613379
YPEL1	-0.341177511244379	6.69566780684008e-06	2.45507819584136e-05
CCL4	0.153900749625187	0.460604693909107	0.542855532107161
