gene	n	events	continuous_HR	continuous_P	median_split_HR	median_split_P
TACC1	134	76	0.317456286978402	0.0182046256589582	0.800702642610912	0.334242194630375
MARCKS	134	76	1.31425939827228	0.470948170581949	1.2361930870834	0.364453844705126
HERPUD1	90	53	1.12145389271264	0.634593936762468	0.771205544743181	0.352604624632189
PECAM1	134	76	0.837074453824694	0.571929106159005	1.06194341204434	0.794936372171925
VWF	134	76	1.01194735525283	0.967324278699519	0.948694349570022	0.81896698511329
EMCN	110	66	0.975448583356161	0.897160316527437	0.721834662444301	0.187903042665671
