direction	source	target	ligand	receptor	pathway_name	n_datasets	datasets	mean_prob	min_p
from_endothelial	endothelial	malignant_epithelial	COL4A1	ITGA2_ITGB1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0004378362816826	0.0
from_endothelial	endothelial	malignant_epithelial	COL4A1	SDC4	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0004340692076507	0.0
from_endothelial	endothelial	epithelial	COL4A1	ITGA2_ITGB1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.000429390908373	0.0
from_endothelial	endothelial	epithelial	COL4A2	CD44	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0004271300057373	0.0
from_endothelial	endothelial	CD8	HLA-B	CD8B	MHC-I	3	GSE154778,GSE155698,GSE212966	0.0004244593816902	0.0
from_endothelial	endothelial	B_cell	COL4A2	CD44	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0004208312082208	0.0
from_endothelial	endothelial	malignant_epithelial	APP	CD74	APP	3	GSE154778,GSE155698,GSE212966	0.0004160859407614	0.0
from_endothelial	endothelial	CD8	HLA-A	CD8B	MHC-I	3	GSE154778,GSE155698,GSE212966	0.0004075815399879	0.0
from_endothelial	endothelial	CD8	MIF	CD74_CXCR4	MIF	3	GSE154778,GSE155698,GSE212966	0.0004054602338921	0.0
from_endothelial	endothelial	epithelial	COL4A2	ITGA3_ITGB1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0003994974196421	0.0
from_endothelial	endothelial	malignant_epithelial	COL4A2	CD44	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0003968528613971	0.0
from_endothelial	endothelial	malignant_epithelial	COL4A2	ITGA2_ITGB1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0003927011939004	0.0
to_endothelial	fibroblast_CAF	endothelial	COL1A1	ITGA3_ITGB1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0003889510816282	0.0
from_endothelial	endothelial	malignant_epithelial	COL4A1	ITGA3_ITGB1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0003887669456252	0.0
from_endothelial	endothelial	fibroblast_CAF	COL4A1	ITGA11_ITGB1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0003883324986337	0.0
from_endothelial	endothelial	malignant_epithelial	COL4A2	SDC4	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0003867944314917	0.0
from_endothelial	endothelial	epithelial	COL4A2	ITGA2_ITGB1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0003838144525309	0.0
to_endothelial	endothelial	endothelial	COL4A1	ITGA1_ITGB1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0003824758495539	0.0
from_endothelial	endothelial	endothelial	COL4A1	ITGA1_ITGB1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0003824758495539	0.0
to_endothelial	fibroblast_CAF	endothelial	COL1A1	ITGA10_ITGB1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0003807696220442	0.0
to_endothelial	fibroblast_CAF	endothelial	COL1A2	ITGA3_ITGB1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0003757872134259	0.0
from_endothelial	endothelial	CD8	HLA-E	CD8B	MHC-I	3	GSE154778,GSE155698,GSE212966	0.0003699581263346	0.0
to_endothelial	fibroblast_CAF	endothelial	COL1A2	ITGA10_ITGB1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0003669758612226	0.0
from_endothelial	endothelial	fibroblast_CAF	COL4A2	ITGA11_ITGB1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0003483995424165	0.0
to_endothelial	endothelial	endothelial	COL4A2	ITGA1_ITGB1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0003472423167826	0.0
from_endothelial	endothelial	endothelial	COL4A2	ITGA1_ITGB1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0003472423167826	0.0
to_endothelial	fibroblast_CAF	endothelial	COL6A1	ITGA1_ITGB1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0003466830336459	0.0
from_endothelial	endothelial	malignant_epithelial	COL4A2	ITGA3_ITGB1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0003464863983552	0.0
to_endothelial	epithelial	endothelial	MDK	ITGA6_ITGB1	MK	3	GSE154778,GSE155698,GSE212966	0.0003458669924787	0.0
from_endothelial	endothelial	CD8	APP	CD74	APP	3	GSE154778,GSE155698,GSE212966	0.0003442353456216	0.0
from_endothelial	endothelial	CD8	HLA-C	CD8B	MHC-I	3	GSE154778,GSE155698,GSE212966	0.0003439537315994	0.0
to_endothelial	malignant_epithelial	endothelial	MDK	ITGA6_ITGB1	MK	3	GSE154778,GSE155698,GSE212966	0.0003401451385536	0.0
to_endothelial	epithelial	endothelial	LAMB3	ITGA6_ITGB1	LAMININ	3	GSE154778,GSE155698,GSE212966	0.0003092913261283	0.0
to_endothelial	fibroblast_CAF	endothelial	COL6A3	ITGA2_ITGB1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0003081366103435	0.0
to_endothelial	fibroblast_CAF	endothelial	MDK	ITGA6_ITGB1	MK	3	GSE154778,GSE155698,GSE212966	0.0003071965252986	0.0
from_endothelial	endothelial	CD8	LAMB1	CD44	LAMININ	3	GSE154778,GSE155698,GSE212966	0.0003010958980285	0.0
from_endothelial	endothelial	mast	LAMB1	CD44	LAMININ	3	GSE154778,GSE155698,GSE212966	0.000300974164167	0.0
to_endothelial	endothelial	endothelial	LAMB1	ITGA6_ITGB1	LAMININ	3	GSE154778,GSE155698,GSE212966	0.0003007588431376	0.0
from_endothelial	endothelial	endothelial	LAMB1	ITGA6_ITGB1	LAMININ	3	GSE154778,GSE155698,GSE212966	0.0003007588431376	0.0
to_endothelial	fibroblast_CAF	endothelial	COL6A2	ITGA2_ITGB1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0002969588687734	0.0
to_endothelial	myeloid	endothelial	SPP1	ITGAV_ITGB1	SPP1	3	GSE154778,GSE155698,GSE212966	0.0002898218557414	0.0
to_endothelial	endothelial	endothelial	CD99	CD99	CD99	3	GSE154778,GSE155698,GSE212966	0.0002855961501296	0.0
from_endothelial	endothelial	endothelial	CD99	CD99	CD99	3	GSE154778,GSE155698,GSE212966	0.0002855961501296	0.0
from_endothelial	endothelial	T_NK	LAMB1	CD44	LAMININ	3	GSE154778,GSE155698,GSE212966	0.0002757863889577	0.0
to_endothelial	endothelial	endothelial	CDH5	CDH5	CDH5	3	GSE154778,GSE155698,GSE212966	0.00027519776698	0.0
from_endothelial	endothelial	endothelial	CDH5	CDH5	CDH5	3	GSE154778,GSE155698,GSE212966	0.00027519776698	0.0
to_endothelial	endothelial	endothelial	COL4A1	ITGA2_ITGB1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0002742769724571	0.0
from_endothelial	endothelial	endothelial	COL4A1	ITGA2_ITGB1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0002742769724571	0.0
from_endothelial	endothelial	myeloid	LAMB1	CD44	LAMININ	3	GSE154778,GSE155698,GSE212966	0.000270804466118	0.0
to_endothelial	fibroblast_CAF	endothelial	FN1	ITGA3_ITGB1	FN1	3	GSE154778,GSE155698,GSE212966	0.000267555501017	0.0
to_endothelial	malignant_epithelial	endothelial	LAMB3	ITGA6_ITGB1	LAMININ	3	GSE154778,GSE155698,GSE212966	0.0002657385382201	0.0
to_endothelial	endothelial	endothelial	ESAM	ESAM	ESAM	3	GSE154778,GSE155698,GSE212966	0.0002542946721758	0.0
from_endothelial	endothelial	endothelial	ESAM	ESAM	ESAM	3	GSE154778,GSE155698,GSE212966	0.0002542946721758	0.0
to_endothelial	endothelial	endothelial	COL4A2	ITGA2_ITGB1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0002487032118019	0.0
from_endothelial	endothelial	endothelial	COL4A2	ITGA2_ITGB1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0002487032118019	0.0
to_endothelial	fibroblast_CAF	endothelial	COL6A3	ITGA9_ITGB1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0002442474184132	0.0
